PURITY
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|  Method   | k  |    dataset     |        lda         |      skipgram      |       tfidf        |     consensus      |
| NCFwR#100 | 12 |    WebKB:12    | 1.0010699001426533 | 1.0354112873478423 |        1.0         | 1.0108030248469573 |
| NCFwR#100 | 24 | 20Newsgroup:24 |        1.0         | 1.017843289371606  | 1.137407889033377  | 1.0003812428516967 |
| NCFwR#100 | 24 |  BBCSport:24   | 1.3168880455407963 | 1.0220913107511043 | 1.0220913107511043 |        1.0         |
| NCFwR#100 | 24 | Reuters-R8:24  | 1.0357535753575353 | 1.1377643504531718 |        1.0         | 1.0189393939393936 |
| NCFwR#100 | 24 |    WebKB:24    |        1.0         | 1.0668176670441674 | 1.035923753665689  | 1.0280101855220076 |
| NCFwR#100 | 48 | 20Newsgroup:48 |        1.0         | 1.0516634050880633 | 1.230311355311356  | 1.0037355248412407 |
| NCFwR#100 | 48 |  BBCSport:48   | 1.2386156648451727 | 1.007407407407407  |        1.0         | 1.008902077151335  |
| NCFwR#100 | 48 | Reuters-R8:48  | 1.0225442834138487 | 1.0948275862068961 |        1.0         | 1.0198072805139182 |
| NCFwR#100 | 48 |    WebKB:48    |        1.0         | 1.0781954887218048 | 1.0697500932487871 | 1.0323974082073433 |
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+


ENTROPY
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|  Method   | k  |    dataset     |        lda         |      skipgram      |       tfidf        |     consensus      |
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|    NCF    | 3  | 20Newsgroup:3  | 1.3368789781437698 |  1.36912948308597  |        1.0         | 1.315501186492699  |
|    NCF    | 3  |   BBCSport:3   | 1.4920392570681167 | 1.049586171251132  | 1.0051719307153169 |        1.0         |
|    NCF    | 3  |  Reuters-R8:3  |        1.0         | 1.609501998369321  | 1.1371318278304534 | 1.0641061311588362 |
|    NCF    | 3  |    WebKB:3     | 1.0049284527539333 | 1.1657223502796608 | 1.0453740208740978 |        1.0         |
